,path,scriptID,transcription,field1,field2,field3,field4,field5,field6,field7
1500,-,Script30_00051,"Hey Jay, most viewed list",11426,-,-,-,-,-,-
1501,-,Script30_00051,"Hey Jay, Start The Gilmore Guys.",11427,-,-,-,-,-,-
1502,-,Script30_00051,"Hey Jay, Play The Gilmore Guys podcast.",11428,-,-,-,-,-,-
1503,-,Script30_00051,"Hey Jay, Please play the last 2 episodes of The Gilmore Guys.",11429,-,-,-,-,-,-
1504,-,Script30_00051,"Hey Jay, Play my sadness playlist.",1143,-,-,-,-,-,-
1505,-,Script30_00051,"Hey Jay, Please play the podcast from happypeople.com.",11430,-,-,-,-,-,-
1506,-,Script30_00051,"Hey Jay, Please play the podcast from happypeople.com.",11431,-,-,-,-,-,-
1507,-,Script30_00051,"Hey Jay, Can you play the podcast from tomatojuice.com?",11432,-,-,-,-,-,-
1508,-,Script30_00051,"Hey Jay, I would like to hear the podcast from the website I was at earlier.",11433,-,-,-,-,-,-
1509,-,Script30_00051,"Hey Jay, Can you play the next episode, please?",11434,-,-,-,-,-,-
1510,-,Script30_00051,"Hey Jay, play melody songs",11435,-,-,-,-,-,-
1511,-,Script30_00051,"Hey Jay, plas kids songd",11436,-,-,-,-,-,-
1512,-,Script30_00051,"Hey Jay, Please play the podcast for me.",11437,-,-,-,-,-,-
1513,-,Script30_00051,"Hey Jay, Please go to the next episode of the podcast.",11438,-,-,-,-,-,-
1514,-,Script30_00051,"Hey Jay, I'd like to continue to the next episode.",11439,-,-,-,-,-,-
1515,-,Script30_00051,"Hey Jay, I need some rap!",1144,-,-,-,-,-,-
1516,-,Script30_00051,"Hey Jay, Please play the latest Bill Simmons podcast.",11442,-,-,-,-,-,-
1517,-,Script30_00051,"Hey Jay, I would like to listen to this mornings Mike and Mike podcast.",11443,-,-,-,-,-,-
1518,-,Script30_00051,"Hey Jay, I would like to hear the podcast of the Heat game thats is being played tonight.",11444,-,-,-,-,-,-
1519,-,Script30_00051,"Hey Jay, Can you find the Dave Ramsey podcast that aired earlier today?",11445,-,-,-,-,-,-
1520,-,Script30_00051,"Hey Jay, go to next podcast",11446,-,-,-,-,-,-
1521,-,Script30_00051,"Hey Jay, go to the third episode of this podcast",11447,-,-,-,-,-,-
1522,-,Script30_00051,"Hey Jay, Please start Joe Rogan podcast please.",11448,-,-,-,-,-,-
1523,-,Script30_00051,"Hey Jay, Play the latest Seahawks Podcast.",11449,-,-,-,-,-,-
1524,-,Script30_00051,"Hey Jay, Please turn on my vacuum cleaner",1145,-,-,-,-,-,-
1525,-,Script30_00051,"Hey Jay, Start podcast, MLB daily.",11450,-,-,-,-,-,-
1526,-,Script30_00051,"Hey Jay, I want to listen to the latest Mike and mike podcast.",11451,-,-,-,-,-,-
1527,-,Script30_00051,"Hey Jay, play favorited podcasts on fishing",11452,-,-,-,-,-,-
1528,-,Script30_00051,"Hey Jay, start podcasts on NFL",11453,-,-,-,-,-,-
1529,-,Script30_00051,"Hey Jay, Play next segment",11454,-,-,-,-,-,-
1530,-,Script30_00052,"Hey Jay, Move to next section",11455,-,-,-,-,-,-
1531,-,Script30_00052,"Hey Jay, Skip to the next episode in this podcast.",11457,-,-,-,-,-,-
1532,-,Script30_00052,"Hey Jay, Move on to the next podcast episode.",11458,-,-,-,-,-,-
1533,-,Script30_00052,"Hey Jay, Go back to the last episode in this podcast.",11459,-,-,-,-,-,-
1534,-,Script30_00052,"Hey Jay, Activate the robot vacuum",1146,-,-,-,-,-,-
1535,-,Script30_00052,"Hey Jay, I want to listen to a sports podcast.",11460,-,-,-,-,-,-
1536,-,Script30_00052,"Hey Jay, Play that podcast please.",11461,-,-,-,-,-,-
1537,-,Script30_00052,"Hey Jay, Turn on the Marc Maron podcast",11462,-,-,-,-,-,-
1538,-,Script30_00052,"Hey Jay, Show me the top rated podacasts",11463,-,-,-,-,-,-
1539,-,Script30_00052,"Hey Jay, Play anything new from my podcast subsciptions",11464,-,-,-,-,-,-
1540,-,Script30_00052,"Hey Jay, continue to next podcast.",11465,-,-,-,-,-,-
1541,-,Script30_00052,"Hey Jay, start next podcast episode.",11466,-,-,-,-,-,-
1542,-,Script30_00052,"Hey Jay, Play the most recent podcast for This American Life",11467,-,-,-,-,-,-
1543,-,Script30_00052,"Hey Jay, I want to hear the latest podcast episode of S-Town",11468,-,-,-,-,-,-
1544,-,Script30_00052,"Hey Jay, Let me listen to the latest Lovett or Leave it podcast",11469,-,-,-,-,-,-
1545,-,Script30_00052,"Hey Jay, Turn on the vacuum now",1147,-,-,-,-,-,-
1546,-,Script30_00052,"Hey Jay, Play my favorite podcast, please.",11470,-,-,-,-,-,-
1547,-,Script30_00052,"Hey Jay, Start This Week For Dinner podcast.",11471,-,-,-,-,-,-
1548,-,Script30_00052,"Hey Jay, Play today's podcast from The Mix.",11472,-,-,-,-,-,-
1549,-,Script30_00052,"Hey Jay, I want to hear yesterday's podcast from my favorite channel.",11473,-,-,-,-,-,-
